id,from_address,to_address,transaction_id,block_number,block_timestamp,amount,chat_id,transferred,created_at
42,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xaE1Cdc8D188fE8729a0c7D04Dcb9168Df954426B','0xd41abcb146990d80e11ed2bed6b30b45fd8f867c2d809005a564c98e5e220049',60872499,2024-08-21 21:43:57,1.000000,,t,2024-08-21 19:45:36.912492
44,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x93a45b77d69b08cf6273ef474e4abfe14ef10b5ef8e5ce80a52eeea00f851db1',60873017,2024-08-21 22:02:17,1.000000,,t,2024-08-21 20:02:59.641719
46,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0x9E7f2e6Ca2e79B0571Cf72EdDCEA1C29A3F526dc','0x0f83ef30f10534e5b687ce436c3146c7a863c86f50622f1def3a49ea81d990e6',60873461,2024-08-21 22:18:01,1.000000,,t,2024-08-21 20:18:18.255788
48,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x29de280a749f0c76027490e4e8b0bc7669b02971deb0ab2d613c844f0a12f4f4',60873597,2024-08-21 22:22:49,1.000000,,t,2024-08-21 20:23:19.984122
50,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xc1b1cf8d6a0577351ad985f4df00218d5eae2f2b69f89da9f6eade296c19439b',60873695,2024-08-21 22:26:17,1.000000,,t,2024-08-21 20:26:39.491832
52,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0x9F7E1741Ee5A595481043eD409B586c2a6b0D738','0xb0a721434b21d264a78de9646d7ca44be8a4dfcbcbeafa240998ea322725f019',60893427,2024-08-22 10:07:36,0.100000,,t,2024-08-22 08:07:47.455551
53,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xB4434a7857EfaA7a4E3802b9B6AdD543A33fb47E','0xf7c3730eef765f7dcb317f7df1c5bf098e610ef422dfec9a561d26bf862a1713',60893393,2024-08-22 10:06:24,0.200000,,t,2024-08-22 08:15:15.411177
56,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x1fb156e73fba4fcbc27ad887a13a27485e5c05e6e12c100f5178fced1d7fed16',60894318,2024-08-22 10:39:10,1.000000,,t,2024-08-22 08:39:21.159542
1,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x2e180d1375bb35f60f5781ed31db08a3fb03a0d8771f14cad52d4fd197a6828e',60431792,2024-08-10 21:51:13,1.000000,,t,2024-08-10 19:52:13.082968
2,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd55dc9ae994ae5290e2fd4968ed33946463fc2802a06ab4fd8b3e48f69bb5362',60432033,2024-08-10 21:59:45,1.000000,,t,2024-08-10 20:00:55.140163
3,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x980e2c8b6f47d513bdf7d2d7bb4f70cd93f0b589e36820206cb779d461dfd1fc',60464488,2024-08-11 17:19:24,1.000000,,t,2024-08-11 15:19:44.103457
4,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xc33d9efdd4309e1204a99727c6415ab938c076a6d086540accc9e6988160a730',60655122,2024-08-16 11:54:51,0.400000,,t,2024-08-16 15:36:41.790097
5,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x95aec74690eb7598c56dc40a73478cd0672b7f81985fec50253cd6700374c2d9',60657489,2024-08-16 13:23:40,1.000000,,t,2024-08-16 15:36:41.790097
6,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xfbec5fa9636e5901436ba8f1c69f7aae7180a5038e536a15cc8df0937a4f04d4',60657606,2024-08-16 13:27:48,0.500000,,t,2024-08-16 15:36:41.790097
7,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x7df7dad788420fedc77eca38e7a17752d9c36edb235467039967920310699bd2',60658210,2024-08-16 13:50:48,0.600000,,t,2024-08-16 15:36:41.790097
8,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xe4a0fce18788b31a56286c532a5403b659b49cf908e16941c958e31088c06fbb',60658390,2024-08-16 13:57:10,0.600000,,t,2024-08-16 15:36:41.790097
9,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x66af5020715de42970307a27be36877600c1871c581a214b194e58a651d8278f',60659895,2024-08-16 14:52:08,1.000000,,t,2024-08-16 15:36:41.790097
10,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd307c3678649cd84168ada270f54cd331460f89239e24c3cfd6cf86c0501dd7b',60660613,2024-08-16 15:17:36,0.100000,,t,2024-08-16 15:36:41.790097
11,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd83be8914834f4d02131d245de4303681d8448d557c85acfadbebc5792e04664',60660839,2024-08-16 15:25:36,0.200000,,t,2024-08-16 15:36:41.790097
12,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x68f155ea53ed8d3f7da9f7231be2f6482bdb31321ac9d72f87fa29d5206981c7',60661800,2024-08-16 15:59:38,0.100000,,t,2024-08-16 15:36:41.790097
13,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x8ff70d114f73a8ce8cb36887dcb9792a84f3f27694180fcd7328e2667256ee85',60664011,2024-08-16 17:18:01,0.300000,,t,2024-08-16 15:36:41.790097
14,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xcb40b048f4aa4699ef2fd819450dcfb37da53fb8ba6fb851b2838234b9cdd504',60664533,2024-08-16 17:36:31,0.100000,,t,2024-08-16 15:36:41.790097
15,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x8a9016c89afc8b8a0c2a05a4ae8f9a29f6a54f27d1a2600a466d3941bd8781d4',60665356,2024-08-16 18:05:39,0.200000,,t,2024-08-16 16:06:19.655389
16,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x01f5ce6b5fd9f4f8be601baf195dd2e146e7253f996769a5ffc931896ba215da',60665454,2024-08-16 18:09:07,0.100000,,t,2024-08-16 16:09:47.235365
17,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd02bef81792b70fa5f41cb023a60816ce55b4896d9f06e68c71fecf6a7e296e0',60666525,2024-08-16 18:47:03,0.100000,,t,2024-08-16 16:47:52.002942
